FlightID;Carrier;Destination;Distance;Date;FlightNumber;Origin;Weather;DayOfWeek;DayOfMonth;TailNumber
1;OH;JFK;184;1/1/2004;5935;BWI;0;4;1;N940CA
1;OH;JFK;184;1/1/2004;5935;BWI;0;4;1;N940CA
2;DH;JFK;213;1/1/2004;6155;DCA;0;4;1;N405FJ
2;DH;JFK;213;1/1/2004;6155;DCA;0;4;1;N405FJ
3;DH;LGA;229;1/1/2004;7208;IAD;0;4;1;N695BR
4;DH;LGA;229;1/1/2004;7215;IAD;0;4;1;N662BR
5;DH;LGA;229;1/1/2004;7792;IAD;0;4;1;N698BR
6;DH;JFK;228;1/1/2004;7800;IAD;0;4;1;N687BR
7;DH;JFK;228;1/1/2004;7806;IAD;0;4;1;N321UE
8;DH;JFK;228;1/1/2004;7810;IAD;0;4;1;N301UE
9;DH;JFK;228;1/1/2004;7812;IAD;0;4;1;N328UE
10;DH;JFK;228;1/1/2004;7814;IAD;0;4;1;N685BR
11;DH;LGA;229;1/1/2004;7924;IAD;0;4;1;N645BR
12;DL;JFK;213;1/1/2004;746;DCA;0;4;1;N918DE
13;DL;LGA;214;1/1/2004;1746;DCA;0;4;1;N242DL
14;DL;LGA;214;1/1/2004;1752;DCA;0;4;1;N241DL
15;DL;LGA;214;1/1/2004;1756;DCA;0;4;1;N242DL
16;DL;LGA;214;1/1/2004;1762;DCA;0;4;1;N241DL
17;DL;LGA;214;1/1/2004;1768;DCA;0;4;1;N242DL
18;MQ;JFK;213;1/1/2004;4752;DCA;0;4;1;N709MQ
19;MQ;JFK;213;1/1/2004;4760;DCA;0;4;1;N717MQ
20;MQ;JFK;213;1/1/2004;4784;DCA;0;4;1;N707MQ
21;MQ;LGA;214;1/1/2004;4956;DCA;0;4;1;N737MQ
22;MQ;LGA;214;1/1/2004;4964;DCA;0;4;1;N717MQ
23;MQ;LGA;214;1/1/2004;4966;DCA;0;4;1;N726MQ
24;MQ;LGA;214;1/1/2004;4968;DCA;0;4;1;N724MQ
25;MQ;LGA;214;1/1/2004;4976;DCA;0;4;1;N724MQ
26;UA;LGA;229;1/1/2004;846;IAD;0;4;1;N513UA
27;US;LGA;214;1/1/2004;2164;DCA;0;4;1;N709UW
28;US;LGA;214;1/1/2004;2168;DCA;0;4;1;N748UW
29;US;LGA;214;1/1/2004;2172;DCA;0;4;1;N709UW
30;US;LGA;214;1/1/2004;2176;DCA;0;4;1;N748UW
31;US;LGA;214;1/1/2004;2180;DCA;0;4;1;N709UW
32;US;LGA;214;1/1/2004;2188;DCA;0;4;1;N709UW
33;RU;EWR;169;1/1/2004;2403;BWI;0;4;1;N14916
34;RU;EWR;169;1/1/2004;2675;BWI;0;4;1;N16954
35;RU;EWR;169;1/1/2004;2303;BWI;0;4;1;N26549
36;RU;EWR;169;1/1/2004;2703;BWI;0;4;1;N16954
37;CO;EWR;199;1/1/2004;808;DCA;0;4;1;N18611
38;CO;EWR;199;1/1/2004;814;DCA;0;4;1;N19357
39;DH;EWR;213;1/1/2004;7299;IAD;0;4;1;N691BR
40;DH;EWR;213;1/1/2004;7302;IAD;0;4;1;N691BR
41;DH;EWR;213;1/1/2004;7303;IAD;0;4;1;N697BR
42;DH;EWR;213;1/1/2004;7304;IAD;0;4;1;N699BR
43;RU;EWR;213;1/1/2004;2497;IAD;0;4;1;N12540
44;RU;EWR;213;1/1/2004;2385;IAD;0;4;1;N16149
45;RU;EWR;199;1/1/2004;2261;DCA;0;4;1;N12564
46;RU;EWR;199;1/1/2004;2336;DCA;0;4;1;N21537
47;RU;EWR;199;1/1/2004;2216;DCA;0;4;1;N15983
48;RU;EWR;213;1/1/2004;2156;IAD;0;4;1;N16149
49;RU;EWR;213;1/1/2004;2664;IAD;0;4;1;N12519
50;RU;EWR;199;1/1/2004;2181;DCA;0;4;1;N19966
51;OH;JFK;184;1/2/2004;5935;BWI;0;5;2;N995CA
52;DH;JFK;213;1/2/2004;6155;DCA;0;5;2;N415FJ
53;DH;LGA;229;1/2/2004;7208;IAD;0;5;2;N688BR
54;DH;LGA;229;1/2/2004;7211;IAD;0;5;2;N665BR
55;DH;LGA;229;1/2/2004;7215;IAD;0;5;2;N639BR
56;DH;LGA;229;1/2/2004;7790;IAD;0;5;2;N686BR
57;DH;LGA;229;1/2/2004;7792;IAD;0;5;2;N665BR
58;DH;JFK;228;1/2/2004;7800;IAD;0;5;2;N645BR
59;DH;JFK;228;1/2/2004;7806;IAD;0;5;2;N332UE
60;DH;JFK;228;1/2/2004;7808;IAD;0;5;2;N324UE
61;DH;JFK;228;1/2/2004;7810;IAD;0;5;2;N305UE
62;DH;JFK;228;1/2/2004;7812;IAD;0;5;2;N322UE
63;DH;JFK;228;1/2/2004;7814;IAD;0;5;2;N657BR
64;DH;JFK;228;1/2/2004;7816;IAD;0;5;2;N315UE
65;DH;LGA;229;1/2/2004;7924;IAD;0;5;2;N709BR
66;DL;JFK;213;1/2/2004;746;DCA;0;5;2;N964DL
67;DL;LGA;214;1/2/2004;1746;DCA;0;5;2;N241DL
68;DL;LGA;214;1/2/2004;1752;DCA;0;5;2;N225DL
69;DL;LGA;214;1/2/2004;1756;DCA;0;5;2;N241DL
70;DL;LGA;214;1/2/2004;1762;DCA;0;5;2;N225DL
71;DL;LGA;214;1/2/2004;1768;DCA;0;5;2;N241DL
72;MQ;JFK;213;1/2/2004;4752;DCA;0;5;2;N720MQ
73;MQ;JFK;213;1/2/2004;4760;DCA;0;5;2;N736MQ
74;MQ;JFK;213;1/2/2004;4784;DCA;0;5;2;N727MQ
75;MQ;LGA;214;1/2/2004;4956;DCA;0;5;2;N713MQ
76;MQ;LGA;214;1/2/2004;4960;DCA;0;5;2;N708MQ
77;MQ;LGA;214;1/2/2004;4964;DCA;0;5;2;N713MQ
78;MQ;LGA;214;1/2/2004;4966;DCA;0;5;2;N718MQ
79;MQ;LGA;214;1/2/2004;4968;DCA;0;5;2;N708MQ
80;UA;LGA;229;1/2/2004;846;IAD;0;5;2;N556UA
81;US;LGA;214;1/2/2004;2160;DCA;0;5;2;N710UW
82;US;LGA;214;1/2/2004;2164;DCA;0;5;2;N736UW
83;US;LGA;214;1/2/2004;2168;DCA;0;5;2;N710UW
84;US;LGA;214;1/2/2004;2172;DCA;0;5;2;N736UW
85;US;LGA;214;1/2/2004;2176;DCA;0;5;2;N710UW
86;US;LGA;214;1/2/2004;2180;DCA;0;5;2;N736UW
87;US;LGA;214;1/2/2004;2184;DCA;0;5;2;N710UW
88;US;LGA;214;1/2/2004;2188;DCA;0;5;2;N736UW
89;RU;EWR;169;1/2/2004;2675;BWI;0;5;2;N19966
