ID	AGE	INCOME	GENDER	MARITAL	NUMKIDS	NUMCARDS	HOWPAID	MORTGAGE	STORECAR	LOANS	VALUE
100756	44	59944	m	married	1	2	monthly	y	2	0	strong profit
100668	35	59692	m	married	1	1	monthly	y	1	0	bad loss
100416	34	59463	m	married	0	2	monthly	y	1	1	bad loss
100590	39	59393	f	married	0	2	monthly	y	1	0	strong profit
100702	42	59201	m	married	0	1	monthly	y	2	0	strong profit
100319	31	59193	f	married	1	2	monthly	y	1	1	strong profit
100666	28	59179	m	married	1	1	monthly	y	2	1	bad loss
100389	30	59036	m	married	1	1	monthly	y	2	1	strong profit
100758	38	58914	m	married	0	1	monthly	y	1	1	weak profit
100695	36	58878	f	married	1	1	monthly	y	1	0	weak profit
100769	44	58529	m	married	0	1	monthly	y	1	0	bad loss
100414	34	58026	m	married	0	1	monthly	y	2	0	strong profit
100354	32	57718	m	married	1	2	monthly	y	1	1	weak profit
100567	38	57683	f	married	1	1	monthly	y	2	1	bad loss
100728	28	57623	m	married	1	1	monthly	y	1	1	bad loss
100665	41	57520	f	married	1	1	monthly	y	1	0	bad loss
100730	43	57388	f	married	0	1	monthly	y	1	0	bad loss
100412	34	56891	m	married	1	1	monthly	y	2	1	weak profit
100374	33	56849	m	married	1	1	monthly	y	1	1	strong profit
100566	38	56590	m	married	0	2	monthly	y	1	0	bad loss
100421	34	56486	m	married	0	1	monthly	y	1	1	weak profit
100670	41	56470	m	married	0	2	monthly	y	1	0	bad loss
100379	33	56087	m	married	1	2	monthly	y	1	1	weak profit
100292	30	56087	f	married	0	1	monthly	y	1	1	weak profit
100294	30	55642	f	married	1	2	monthly	y	1	0	strong profit
100570	38	55565	m	married	1	2	monthly	y	1	0	strong profit
100425	34	55497	m	married	1	1	monthly	y	2	1	weak profit
100592	39	55390	f	married	0	1	monthly	y	1	0	weak profit
100601	39	55215	m	married	0	2	monthly	y	2	0	strong profit
100486	36	54938	m	married	0	2	monthly	y	1	0	strong profit
100348	32	54792	m	married	1	1	monthly	y	2	0	strong profit
100450	35	54673	f	married	1	2	monthly	y	2	1	weak profit
100629	28	54671	m	married	0	2	monthly	y	1	0	strong profit
100757	44	54451	m	married	0	1	monthly	y	2	1	strong profit
100488	36	54021	m	married	1	1	monthly	y	2	1	weak profit
100383	33	54013	f	married	0	1	monthly	y	2	0	strong profit
100770	44	53983	f	married	1	2	monthly	y	2	0	weak profit
100795	45	53842	f	married	0	2	monthly	y	1	0	strong profit
100597	39	53731	m	married	0	2	monthly	y	2	1	strong profit
100794	45	53704	m	married	1	2	monthly	y	2	1	strong profit
100755	44	53660	f	married	1	1	monthly	y	1	1	strong profit
100492	36	53365	m	married	0	1	monthly	y	2	0	weak profit
100694	42	53307	m	married	0	2	monthly	y	1	1	bad loss
100448	35	53201	m	married	0	1	monthly	y	2	0	strong profit
100384	33	53195	m	married	1	2	monthly	y	1	1	strong profit
100630	40	53180	f	married	1	2	monthly	y	1	0	strong profit
100381	33	53115	f	married	0	2	monthly	y	1	0	bad loss
100350	32	52973	m	married	1	1	monthly	y	1	0	weak profit
100352	32	52961	f	married	1	1	monthly	y	2	1	weak profit
100385	33	52896	m	married	0	2	monthly	y	2	1	weak profit
100325	31	52540	f	married	0	2	monthly	y	1	0	weak profit
100599	39	52495	f	married	1	2	monthly	y	1	1	strong profit
100603	39	52173	f	married	0	2	monthly	y	2	0	weak profit
100727	36	51939	m	married	0	1	monthly	y	1	0	weak profit
100671	41	51859	f	married	0	2	monthly	y	1	1	weak profit
100765	44	51498	m	married	0	1	monthly	y	2	1	bad loss
100797	45	51385	f	married	0	1	monthly	y	2	0	strong profit
100324	31	51383	f	married	0	2	monthly	y	2	1	weak profit
100662	37	50833	m	married	1	1	monthly	y	2	1	strong profit
100754	44	50816	m	married	0	2	monthly	y	1	1	weak profit
100621	40	50621	f	married	1	2	monthly	y	1	0	weak profit
100793	45	50552	m	married	0	1	monthly	y	2	0	strong profit
100493	36	50515	f	married	0	1	monthly	y	1	1	strong profit
100500	36	50302	m	married	1	2	monthly	y	1	0	weak profit
100322	31	50295	f	married	1	1	monthly	y	1	0	weak profit
