id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,response
12701,26,MALE,INNER_CITY,18766.9,YES,2,YES,YES,NO,YES,
12702,28,MALE,RURAL,9915.67,NO,3,NO,YES,NO,YES,
12703,50,FEMALE,RURAL,21881.6,NO,0,YES,YES,YES,NO,
12704,55,MALE,TOWN,46794.4,YES,1,NO,YES,NO,YES,
12705,54,FEMALE,INNER_CITY,20721.1,YES,0,YES,YES,YES,NO,
12706,28,MALE,INNER_CITY,16688.5,NO,2,NO,YES,YES,YES,
12707,41,FEMALE,RURAL,39068.0,YES,3,YES,YES,NO,YES,
12708,33,FEMALE,INNER_CITY,27740.8,YES,2,YES,YES,NO,YES,
12709,49,MALE,INNER_CITY,33584.9,NO,3,YES,YES,NO,NO,
12710,69,FEMALE,TOWN,19621.3,YES,1,YES,NO,YES,NO,
12711,70,FEMALE,INNER_CITY,47630.9,YES,3,NO,YES,NO,YES,
12712,30,FEMALE,INNER_CITY,22378.5,NO,3,YES,NO,YES,YES,
12713,61,FEMALE,RURAL,20837.1,YES,1,YES,YES,YES,NO,
12714,29,FEMALE,SUBURBAN,23912.7,YES,2,YES,YES,YES,NO,
12715,20,MALE,RURAL,8005.13,YES,3,NO,YES,YES,NO,
12716,52,MALE,TOWN,34961.7,YES,3,NO,NO,NO,YES,
12717,22,FEMALE,INNER_CITY,24627.6,YES,3,YES,YES,YES,YES,
12718,62,FEMALE,RURAL,47315.3,YES,2,YES,YES,NO,NO,
12719,23,MALE,TOWN,13196.2,YES,3,NO,YES,YES,NO,
12720,36,FEMALE,TOWN,20528.9,NO,0,YES,NO,YES,NO,
12721,53,MALE,TOWN,37227.8,NO,1,YES,YES,YES,NO,
12722,29,FEMALE,INNER_CITY,21022.6,YES,2,NO,NO,YES,NO,
12723,63,MALE,RURAL,49986.7,YES,3,YES,YES,YES,NO,
12724,61,MALE,RURAL,44199.9,YES,2,YES,YES,YES,YES,
12725,26,FEMALE,INNER_CITY,20050.2,YES,2,YES,YES,NO,NO,
12726,20,FEMALE,SUBURBAN,13013.9,NO,3,NO,YES,NO,YES,
12727,51,FEMALE,TOWN,39465.8,YES,1,YES,NO,NO,NO,
12728,67,FEMALE,RURAL,39387.7,YES,2,NO,YES,YES,YES,
12729,66,MALE,RURAL,41114.2,YES,1,YES,YES,YES,YES,
12730,21,FEMALE,INNER_CITY,11171.0,NO,2,YES,YES,YES,NO,
12731,27,MALE,RURAL,23805.5,NO,3,YES,YES,NO,NO,
12732,29,FEMALE,TOWN,20979.5,YES,3,NO,YES,YES,NO,
12733,28,MALE,SUBURBAN,10523.3,YES,3,NO,NO,NO,YES,
12734,34,MALE,SUBURBAN,12403.0,YES,1,NO,YES,YES,NO,
12735,41,FEMALE,INNER_CITY,21935.7,YES,1,YES,YES,NO,NO,
12736,65,MALE,INNER_CITY,54182.5,YES,1,NO,YES,YES,NO,
12737,36,FEMALE,TOWN,20628.0,YES,0,YES,NO,YES,NO,
12738,24,MALE,INNER_CITY,28589.4,YES,1,NO,YES,YES,YES,
12739,24,FEMALE,TOWN,26201.6,NO,1,YES,NO,YES,NO,
12740,33,FEMALE,TOWN,18038.0,YES,1,NO,NO,YES,YES,
12741,59,MALE,SUBURBAN,26553.5,NO,2,NO,NO,NO,NO,
12742,43,FEMALE,INNER_CITY,26956.0,NO,2,NO,YES,NO,YES,
12743,71,MALE,INNER_CITY,43720.4,NO,3,NO,YES,NO,YES,
12744,64,FEMALE,INNER_CITY,27372.7,YES,0,YES,NO,YES,NO,
12745,71,FEMALE,TOWN,16700.2,NO,3,YES,YES,YES,YES,
12746,69,MALE,INNER_CITY,26527.9,NO,3,NO,NO,YES,NO,
12747,70,FEMALE,TOWN,58002.2,NO,2,NO,YES,YES,NO,
12748,27,FEMALE,INNER_CITY,14827.2,NO,1,YES,NO,YES,NO,
12749,22,MALE,TOWN,21366.0,YES,3,NO,YES,YES,NO,
12750,67,MALE,SUBURBAN,40099.6,YES,0,YES,YES,YES,NO,
