id,age,sex,region,income,married,children,car,save_act,current_act,mortgage,response
12101,48,FEMALE,INNER_CITY,17546,NO,1,NO,NO,NO,NO,YES
12101,48,FEMALE,INNER_CITY,17546,NO,1,NO,NO,NO,NO,YES
12102,40,MALE,TOWN,30085.1,YES,3,YES,NO,YES,YES,NO
12103,51,FEMALE,INNER_CITY,16575.4,YES,0,YES,YES,YES,NO,NO
12104,23,FEMALE,TOWN,20375.4,YES,3,NO,NO,YES,NO,NO
12105,57,FEMALE,RURAL,50576.3,YES,0,NO,YES,NO,NO,NO
12106,57,FEMALE,TOWN,37869.6,YES,2,NO,YES,YES,NO,YES
12107,22,MALE,RURAL,8877.07,NO,0,NO,NO,YES,NO,YES
12108,58,MALE,TOWN,24946.6,YES,0,YES,YES,YES,NO,NO
12109,37,FEMALE,SUBURBAN,25304.3,YES,2,YES,NO,NO,NO,NO
12110,54,MALE,TOWN,24212.1,YES,2,YES,YES,YES,NO,NO
12111,66,FEMALE,TOWN,59803.9,YES,0,NO,YES,YES,NO,NO
12112,52,FEMALE,INNER_CITY,26658.8,NO,0,YES,YES,YES,YES,NO
12113,44,FEMALE,TOWN,15735.8,YES,1,NO,YES,YES,YES,YES
12114,66,FEMALE,TOWN,55204.7,YES,1,YES,YES,YES,YES,YES
12115,36,MALE,RURAL,19474.6,YES,0,NO,YES,YES,YES,NO
12116,38,FEMALE,INNER_CITY,22342.1,YES,0,YES,YES,YES,YES,NO
12117,37,FEMALE,TOWN,17729.8,YES,2,,NO,NO,YES,NO
12118,46,FEMALE,SUBURBAN,41016,YES,0,NO,YES,NO,YES,NO
12119,62,FEMALE,INNER_CITY,26909.2,YES,0,NO,YES,NO,NO,YES
12120,31,MALE,TOWN,22522.8,YES,0,YES,YES,YES,NO,NO
12121,61,MALE,INNER_CITY,57880.7,YES,2,NO,YES,NO,NO,YES
12122,50,MALE,TOWN,16497.3,YES,2,NO,YES,YES,NO,NO
12123,54,MALE,INNER_CITY,38446.6,YES,0,NO,YES,YES,NO,NO
12124,27,FEMALE,TOWN,,NO,0,YES,YES,YES,YES,NO
12125,22,MALE,INNER_CITY,12640.3,NO,2,YES,YES,YES,NO,NO
12126,56,MALE,INNER_CITY,41034,YES,0,YES,YES,YES,YES,NO
12127,45,MALE,INNER_CITY,20809.7,YES,0,NO,YES,YES,YES,NO
12128,39,FEMALE,TOWN,20114,YES,1,NO,NO,YES,NO,YES
12129,39,FEMALE,INNER_CITY,29359.1,NO,3,YES,NO,YES,YES,NO
12130,61,MALE,RURAL,24270.1,YES,1,NO,NO,YES,NO,YES
12131,61,FEMALE,RURAL,22942.9,YES,2,NO,YES,YES,NO,NO
12132,20,FEMALE,TOWN,16325.8,YES,2,NO,YES,NO,NO,NO
12133,45,MALE,SUBURBAN,23443.2,YES,1,YES,YES,YES,NO,YES
12134,33,FEMALE,INNER_CITY,29921.3,NO,3,YES,YES,NO,NO,NO
12135,43,MALE,SUBURBAN,37521.9,NO,0,NO,YES,YES,NO,YES
12136,27,FEMALE,INNER_CITY,19868,YES,2,NO,YES,YES,NO,NO
12137,19,MALE,RURAL,10953,YES,3,YES,YES,YES,NO,NO
12138,36,FEMALE,RURAL,13381,NO,0,YES,NO,YES,NO,YES
12139,43,FEMALE,TOWN,18504.3,YES,0,YES,YES,YES,NO,NO
12140,66,FEMALE,SUBURBAN,25391.5,NO,2,NO,NO,YES,NO,NO
12141,55,MALE,TOWN,26774.2,YES,0,NO,NO,YES,YES,YES
12142,47,FEMALE,INNER_CITY,26952.6,YES,0,YES,NO,YES,NO,NO
12143,67,MALE,TOWN,55716.5,NO,2,YES,YES,NO,NO,YES
12144,32,FEMALE,TOWN,27571.5,YES,0,YES,NO,YES,YES,NO
12145,20,MALE,INNER_CITY,13740,NO,2,YES,YES,YES,YES,NO
12146,64,MALE,INNER_CITY,52670.6,YES,2,NO,YES,YES,YES,YES
12147,50,FEMALE,INNER_CITY,,NO,1,YES,YES,YES,NO,YES
12148,29,MALE,INNER_CITY,13106.6,NO,2,NO,YES,YES,YES,YES
12149,52,MALE,INNER_CITY,39547.8,NO,2,YES,NO,YES,NO,YES
12150,47,FEMALE,RURAL,17867.3,YES,2,YES,YES,NO,NO,NO
12151,24,MALE,TOWN,14309.7,NO,2,YES,YES,NO,NO,NO
12152,36,MALE,TOWN,23894.8,YES,0,NO,NO,NO,NO,NO
12153,43,MALE,TOWN,16259.7,YES,1,NO,YES,YES,NO,YES
12154,48,MALE,SUBURBAN,,NO,1,NO,YES,YES,NO,YES
12155,63,MALE,TOWN,56842.5,YES,0,,YES,YES,YES,NO
12156,52,FEMALE,RURAL,47835.8,NO,3,NO,YES,NO,NO,YES
12157,58,FEMALE,INNER_CITY,24977.5,NO,0,NO,NO,YES,NO,YES
12158,28,MALE,INNER_CITY,23124.9,YES,0,,YES,YES,NO,YES
12159,29,FEMALE,INNER_CITY,15143.8,YES,0,NO,NO,YES,NO,NO
12160,34,MALE,INNER_CITY,25334.3,NO,1,YES,YES,YES,YES,YES
12161,42,FEMALE,INNER_CITY,24763.3,YES,1,NO,YES,YES,YES,YES
12162,65,FEMALE,INNER_CITY,36589,NO,1,YES,NO,YES,NO,YES
12163,47,MALE,INNER_CITY,27022.6,YES,2,NO,YES,YES,NO,NO
12164,20,MALE,INNER_CITY,11700.4,YES,0,NO,YES,NO,NO,NO
12165,21,MALE,TOWN,5014.21,NO,0,YES,YES,YES,YES,NO
12166,42,MALE,INNER_CITY,17390.1,YES,0,NO,YES,YES,NO,NO
12167,19,MALE,TOWN,10861,NO,2,NO,YES,YES,NO,NO
12168,41,FEMALE,TOWN,34892.9,NO,0,NO,YES,YES,YES,NO
12169,30,MALE,TOWN,19403.1,NO,2,NO,YES,YES,NO,NO
12170,31,FEMALE,RURAL,10441.9,YES,2,NO,NO,YES,NO,YES
12171,25,MALE,INNER_CITY,14064.9,YES,3,YES,YES,YES,NO,NO
12172,21,MALE,INNER_CITY,8062.73,NO,0,NO,NO,YES,NO,YES
12173,36,MALE,INNER_CITY,31982,YES,3,YES,YES,YES,YES,YES
12174,58,FEMALE,INNER_CITY,23197.5,YES,2,NO,YES,NO,YES,NO
12175,64,FEMALE,INNER_CITY,52674,NO,2,YES,YES,YES,NO,YES
12176,59,FEMALE,RURAL,35610.5,NO,2,YES,NO,NO,NO,YES
12177,45,FEMALE,TOWN,,NO,0,NO,YES,YES,YES,NO
12178,61,MALE,INNER_CITY,,YES,1,YES,YES,YES,YES,YES
12179,30,FEMALE,INNER_CITY,,YES,0,YES,NO,YES,NO,NO
12180,58,FEMALE,TOWN,,YES,2,YES,YES,NO,NO,YES
12181,50,FEMALE,TOWN,,NO,3,NO,YES,YES,NO,YES
12182,30,MALE,INNER_CITY,27808.1,NO,3,NO,NO,YES,NO,NO
12183,29,FEMALE,INNER_CITY,12591.4,YES,1,NO,YES,YES,NO,NO
12184,35,MALE,INNER_CITY,16394.4,YES,1,NO,YES,YES,NO,YES
12185,62,MALE,INNER_CITY,24026.1,YES,0,NO,NO,YES,YES,YES
12186,36,MALE,INNER_CITY,31683.1,YES,1,YES,YES,YES,NO,YES
12187,25,FEMALE,INNER_CITY,15525,YES,0,NO,YES,YES,NO,NO
12188,66,FEMALE,TOWN,22562.2,NO,0,YES,YES,YES,YES,NO
12189,30,MALE,SUBURBAN,15848.7,YES,0,YES,YES,NO,YES,NO
12190,54,FEMALE,INNER_CITY,31095.6,YES,2,NO,NO,YES,NO,YES
12191,37,MALE,TOWN,24814.5,YES,1,YES,NO,YES,YES,YES
12192,28,FEMALE,INNER_CITY,25429.3,NO,2,NO,YES,YES,YES,NO
12193,53,FEMALE,RURAL,34866.5,NO,0,NO,NO,YES,NO,YES
12194,61,MALE,INNER_CITY,42579.1,YES,2,YES,YES,YES,NO,NO
12195,61,FEMALE,INNER_CITY,41127.4,YES,0,YES,YES,NO,NO,NO
12196,18,FEMALE,INNER_CITY,9990.11,YES,0,NO,YES,YES,NO,NO
12197,22,MALE,INNER_CITY,7948.62,YES,1,NO,NO,NO,YES,NO
12198,34,MALE,TOWN,30870.8,YES,2,YES,YES,YES,YES,YES
12199,35,FEMALE,INNER_CITY,12125.8,NO,2,NO,YES,YES,NO,NO
12200,18,FEMALE,RURAL,15348.9,YES,0,YES,NO,YES,NO,NO
12201,54,MALE,INNER_CITY,26707.9,YES,1,NO,YES,YES,YES,YES
12202,27,FEMALE,INNER_CITY,11604.4,YES,2,YES,YES,YES,NO,NO
12203,42,MALE,INNER_CITY,15499.9,YES,0,YES,NO,YES,YES,YES
12204,43,MALE,TOWN,33088.5,NO,0,NO,YES,YES,YES,NO
12205,64,FEMALE,INNER_CITY,34513.6,YES,1,NO,YES,YES,NO,YES
12206,43,MALE,TOWN,32395.5,YES,3,YES,YES,YES,NO,NO
12207,49,MALE,RURAL,46633,YES,0,YES,YES,NO,NO,NO
12208,23,MALE,INNER_CITY,13039.9,YES,0,NO,NO,YES,NO,NO
12209,23,MALE,INNER_CITY,12681.9,NO,0,NO,YES,YES,NO,YES
12210,30,FEMALE,INNER_CITY,24031.5,YES,2,YES,YES,YES,YES,NO
12211,36,MALE,TOWN,37330.5,NO,2,NO,YES,YES,NO,YES
12212,34,MALE,INNER_CITY,25333.2,YES,3,YES,NO,NO,YES,NO
12213,51,FEMALE,INNER_CITY,37094.2,YES,0,YES,NO,YES,NO,NO
12214,36,MALE,TOWN,33630.6,NO,2,YES,YES,YES,NO,YES
12215,56,MALE,INNER_CITY,43228.2,YES,1,YES,YES,YES,NO,YES
12216,54,FEMALE,INNER_CITY,47796.8,YES,0,NO,YES,YES,NO,NO
12217,56,FEMALE,TOWN,21730.3,YES,2,,YES,NO,NO,NO
12218,26,MALE,INNER_CITY,10044.1,YES,3,NO,YES,YES,YES,NO
12219,39,MALE,TOWN,17270.1,NO,0,YES,NO,NO,NO,YES
12220,64,FEMALE,RURAL,45765,YES,3,YES,YES,YES,NO,YES
12221,46,MALE,RURAL,29525.5,NO,2,NO,YES,NO,YES,NO
12222,62,FEMALE,RURAL,54863.8,YES,1,YES,YES,YES,NO,YES
12223,36,FEMALE,TOWN,20799,YES,1,NO,YES,NO,YES,YES
12224,35,FEMALE,RURAL,33028.3,NO,1,NO,YES,YES,NO,YES
12225,47,MALE,RURAL,45031.9,NO,3,YES,YES,NO,NO,YES
12226,47,MALE,INNER_CITY,39010.8,YES,2,NO,NO,YES,NO,YES
12227,37,FEMALE,TOWN,25257.7,YES,0,YES,YES,YES,NO,NO
12228,48,FEMALE,INNER_CITY,42603.9,YES,0,NO,YES,YES,NO,NO
12229,41,MALE,TOWN,,YES,3,YES,YES,YES,NO,NO
12230,27,FEMALE,RURAL,,NO,0,YES,YES,YES,NO,YES
12231,43,MALE,INNER_CITY,,NO,2,NO,NO,YES,NO,NO
12232,61,MALE,RURAL,,YES,3,NO,YES,YES,YES,NO
12233,52,FEMALE,SUBURBAN,,NO,2,YES,YES,YES,NO,NO
