Column1,schid,schname,distid,dist,city,county,type,District Type,low,ISAT
511,3.30E+14,Abingdon Middle School,3.30E+14,Abingdon CUSD 217,Abingdon,Knox,MIDDLE SCHL,Non Chicago School,33.5,71.9
512,3.30E+14,Abingdon-Avon High Sch,3.30E+14,Abingdon-Avon CUSD 276,Abingdon,Knox,HIGH SCHOOL,Non Chicago School,43.4,75.8
513,4.60E+14,A-C Central Elementary School,4.60E+14,A-C Central CUSD 262,Chandlerville,Cass,ELEMENTARY,Non Chicago School,29.1,78.1
514,4.60E+14,A-C Central Middle School,4.60E+14,A-C Central CUSD 262,Ashland,Cass,MIDDLE SCHL,Non Chicago School,25.2,61.9
515,1.90E+14,Stone Elem School,1.90E+14,Addison SD 4,Addison,Dupage,ELEMENTARY,Non Chicago School,9.5,82.5
516,1.90E+14,Wesley Elem School,1.90E+14,Addison SD 4,Addison,Dupage,ELEMENTARY,Non Chicago School,9.3,82.4
517,1.90E+14,Fullerton Elem School,1.90E+14,Addison SD 4,Addison,Dupage,ELEMENTARY,Non Chicago School,21.2,77.1
518,1.90E+14,Indian Trail Jr High School,1.90E+14,Addison SD 4,Addison,Dupage,MIDDLE SCHL,Non Chicago School,32.3,68
519,1.90E+14,Lake Park Elem School,1.90E+14,Addison SD 4,Addison,Dupage,ELEMENTARY,Non Chicago School,32.3,63.7
520,1.90E+14,Army Trail Elem School,1.90E+14,Addison SD 4,Addison,Dupage,ELEMENTARY,Non Chicago School,45.9,67.8
521,1.90E+14,Lincoln Elem School,1.90E+14,Addison SD 4,Addison,Dupage,ELEMENTARY,Non Chicago School,47.1,59.3
522,2.10E+14,Akin Comm Cons Elem School,2.10E+14,Akin CCSD 91,Akin,Franklin,ELEMENTARY,Non Chicago School,48.4,60.3
523,1.30E+14,Albers Elem School,1.30E+14,Albers SD 63,Albers,Clinton,ELEMENTARY,Non Chicago School,14.3,72.8
524,4.41E+14,Alden-Hebron Middle School,4.41E+14,Alden Hebron SD 19,Hebron,McHenry,MIDDLE SCHL,Non Chicago School,12.1,70.3
525,4.41E+14,Alden Hebron Elem School,4.41E+14,Alden Hebron SD 19,Hebron,McHenry,ELEMENTARY,Non Chicago School,11.3,74.2
526,2.71E+14,Aledo Jr High School,2.71E+14,Aledo CUSD 201,Aledo,Mercer,MIDDLE SCHL,Non Chicago School,23.6,66.8
527,2.71E+14,Apollo Elementary School,2.71E+14,Aledo CUSD 201,Aledo,Mercer,ELEMENTARY,Non Chicago School,25.4,75.7
528,2.71E+14,ALEXIS ELEM SCHOOL,2.71E+14,ALEXIS C U SCH DIST 400,ALEXIS,WARREN,ELEMENTARY,Non Chicago School,29.7,72.4
529,2.71E+14,ALEXIS JR HIGH SCHOOL,2.71E+14,ALEXIS C U SCH DIST 400,ALEXIS,WARREN,MIDDLE SCHL,Non Chicago School,31.6,74.3
530,2.01E+14,Allendale Elementary School,2.01E+14,Allendale CCSD 17,Allendale,Wabash,ELEMENTARY,Non Chicago School,33.1,72.6
531,3.51E+14,Ransom Grade School,3.51E+14,Allen-Otter Creek CCSD 65,Ransom,La Salle,ELEMENTARY,Non Chicago School,12.3,70.7
532,7.02E+13,Prairie Jr High School,7.02E+13,Alsip-Hazlgrn-Oaklwn SD 126,Alsip,Cook,MIDDLE SCHL,Non Chicago School,13,71.7
533,7.02E+13,Hazelgreen Elem School,7.02E+13,Alsip-Hazlgrn-Oaklwn SD 126,Alsip,Cook,ELEMENTARY,Non Chicago School,11.7,80.2
534,7.02E+13,Stony Creek Elem School,7.02E+13,Alsip-Hazlgrn-Oaklwn SD 126,Alsip,Cook,ELEMENTARY,Non Chicago School,19.3,76.1
535,7.02E+13,Lane Elem School,7.02E+13,Alsip-Hazlgrn-Oaklwn SD 126,Alsip,Cook,ELEMENTARY,Non Chicago School,15.5,80.9
536,3.03E+13,Altamont Grade School,3.03E+13,Altamont CUSD 10,Altamont,Effingham,ELEMENTARY,Non Chicago School,39.8,73.2
537,4.11E+14,Eunice Smith Elem School,4.11E+14,Alton CUSD 11,Alton,Madison,ELEMENTARY,Non Chicago School,50.7,67.8
538,4.11E+14,Lovejoy Elem School,4.11E+14,Alton CUSD 11,Alton,Madison,ELEMENTARY,Non Chicago School,73,36.2
539,4.11E+14,West Elementary School,4.11E+14,Alton CUSD 11,Alton,Madison,ELEMENTARY,Non Chicago School,43,59.2
540,4.11E+14,NORTH MIDDLE SCHOOL,4.11E+14,ALTON CUSD 11,GODFREY,MADISON,MIDDLE SCHL,Non Chicago School,40.5,61.7
541,4.11E+14,EAST MIDDLE SCHOOL,4.11E+14,ALTON CUSD 11,ALTON,MADISON,MIDDLE SCHL,Non Chicago School,51.5,58.7
542,4.11E+14,HORACE MANN ELEM SCHOOL,4.11E+14,ALTON CUSD 11,ALTON,MADISON,ELEMENTARY,Non Chicago School,58.8,49.6
543,2.80E+14,AlWoodMiddle/High School,2.80E+14,AlWood CUSD 225,Woodhull,Henry,HIGH SCHOOL,Non Chicago School,21.2,65.7
544,2.80E+14,AlWood Elem School,2.80E+14,AlWood CUSD 225,Alpha,Henry,ELEMENTARY,Non Chicago School,29.4,62.7
545,4.71E+14,Amboy Central Elem School,4.71E+14,Amboy CUSD 272,Amboy,Lee,ELEMENTARY,Non Chicago School,26.3,82.3
