Column1,schid,schname,distid,dist,city,county,schtype,District Type,low,ISAT
500,3.30E+14,Abingdon-Avon Middle Sch,3.30E+14,Abingdon-Avon CUSD 276,Avon,Knox,MIDDLE SCHL,Non Chicago School,56.3,37.3
501,3.30E+14,Hedding Grade Sch,3.30E+14,Abingdon-Avon CUSD 276,Abingdon,Knox,ELEMENTARY,Non Chicago School,61.8,66.7
502,3.30E+14,Avon Elem Sch,3.30E+14,Abingdon-Avon CUSD 276,Avon,Knox,ELEMENTARY,Non Chicago School,64.5,39.4
503,4.60E+14,A-C Central Middle School,4.60E+14,A-C Central CUSD 262,Ashland,Cass,MIDDLE SCHL,Non Chicago School,48.4,55.3
504,4.60E+14,A-C Central Elementary School,4.60E+14,A-C Central CUSD 262,Chandlerville,Cass,ELEMENTARY,Non Chicago School,47.9,65.6
505,1.90E+14,Indian Trail Jr High School,1.90E+14,Addison SD 4,Addison,Dupage,MIDDLE SCHL,Non Chicago School,62.1,48.2
506,1.90E+14,Army Trail Elem School,1.90E+14,Addison SD 4,Addison,Dupage,ELEMENTARY,Non Chicago School,83.9,34.3
507,1.90E+14,Fullerton Elem School,1.90E+14,Addison SD 4,Addison,Dupage,ELEMENTARY,Non Chicago School,61.6,54.6
508,1.90E+14,Lake Park Elem School,1.90E+14,Addison SD 4,Addison,Dupage,ELEMENTARY,Non Chicago School,79.7,32.9
509,1.90E+14,Lincoln Elem School,1.90E+14,Addison SD 4,Addison,Dupage,ELEMENTARY,Non Chicago School,87.3,30.5
510,1.90E+14,Wesley Elem School,1.90E+14,Addison SD 4,Addison,Dupage,ELEMENTARY,Non Chicago School,37.8,68.2
511,1.90E+14,Stone Elem School,1.90E+14,Addison SD 4,Addison,Dupage,ELEMENTARY,Non Chicago School,31.7,64.8
512,2.10E+14,Akin Comm Cons Elem School,2.10E+14,Akin CCSD 91,Akin,Franklin,ELEMENTARY,Non Chicago School,50.5,47.4
513,1.30E+14,Albers Elem School,1.30E+14,Albers SD 63,Albers,Clinton,ELEMENTARY,Non Chicago School,21.1,82.4
514,4.41E+14,Alden-Hebron Middle School,4.41E+14,Alden Hebron SD 19,Hebron,McHenry,MIDDLE SCHL,Non Chicago School,34.5,63.4
515,4.41E+14,Alden Hebron Elem School,4.41E+14,Alden Hebron SD 19,Hebron,McHenry,ELEMENTARY,Non Chicago School,40.7,70.1
516,2.01E+14,Allendale Elementary School,2.01E+14,Allendale CCSD 17,Allendale,Wabash,ELEMENTARY,Non Chicago School,54.4,62.1
517,3.51E+14,Ransom Grade School,3.51E+14,Allen-Otter Creek CCSD 65,Ransom,La Salle,ELEMENTARY,Non Chicago School,32.6,51.4
518,3.03E+13,Altamont Grade School,3.03E+13,Altamont CUSD 10,Altamont,Effingham,ELEMENTARY,Non Chicago School,53.8,62.8
519,4.11E+14,Alton Middle School,4.11E+14,Alton CUSD 11,Alton,Madison,MIDDLE SCHL,Non Chicago School,61.6,43.3
520,4.11E+14,Lovejoy Elem School,4.11E+14,Alton CUSD 11,Alton,Madison,ELEMENTARY,Non Chicago School,74.1,48.5
