Column1,schid,schname,distid,dist,city,county,type,District Type,low,PSAE
80,3.30E+14,Abingdon High School,3.30E+14,Abingdon CUSD 217,Abingdon,Knox,HIGH SCHOOL,Non Chicago School,27.5,35.9
81,4.60E+14,A-C Central High School,4.60E+14,A-C Central CUSD 262,Ashland,Cass,HIGH SCHOOL,Non Chicago School,17.3,62.4
82,3.40E+14,Adlai E Stevenson High School,3.40E+14,Adlai E Stevenson HSD 125,Lincolnshire,Lake,HIGH SCHOOL,Non Chicago School,0.9,86.5
83,4.41E+14,Alden-Hebron High School,4.41E+14,Alden Hebron SD 19,Hebron,McHenry,HIGH SCHOOL,Non Chicago School,4.4,69.9
84,2.71E+14,Aledo High School,2.71E+14,Aledo CUSD 201,Aledo,Mercer,HIGH SCHOOL,Non Chicago School,13.3,55
85,2.71E+14,ALEXIS HIGH SCHOOL,2.71E+14,ALEXIS C U SCH DIST 400,ALEXIS,WARREN,HIGH SCHOOL,Non Chicago School,10.1,63.7
86,3.03E+13,Altamont High School,3.03E+13,Altamont CUSD 10,Altamont,Effingham,HIGH SCHOOL,Non Chicago School,22.5,66.7
87,4.11E+14,Alton High School,4.11E+14,Alton CUSD 11,Alton,Madison,HIGH SCHOOL,Non Chicago School,27.8,53.3
88,2.80E+14,AlWoodMiddle/High School,2.80E+14,AlWood CUSD 225,Woodhull,Henry,HIGH SCHOOL,Non Chicago School,21.2,66.7
89,4.71E+14,Amboy High School,4.71E+14,Amboy CUSD 272,Amboy,Lee,HIGH SCHOOL,Non Chicago School,15.6,60.3
90,2.09E+13,Anna-Jonesboro High School,2.09E+13,Anna Jonesboro CHSD 81,Anna,Union,HIGH SCHOOL,Non Chicago School,27.7,53.1
91,2.80E+14,Annawan High School,2.80E+14,Annawan CUSD 226,Annawan,Henry,HIGH SCHOOL,Non Chicago School,12.5,69
92,1.10E+14,Arcola High School,1.10E+14,Arcola CUSD 306,Arcola,Douglas,HIGH SCHOOL,Non Chicago School,11.7,55.4
93,3.91E+14,Argenta-Oreana High School,3.91E+14,Argenta-Oreana CUSD 1,Argenta,Macon,HIGH SCHOOL,Non Chicago School,12.5,53.5
94,7.02E+13,Argo Community High School,7.02E+13,Argo CHSD 217,Summit,Cook,HIGH SCHOOL,Non Chicago School,38.4,48.5
95,5.41E+14,Armstrong High School,5.41E+14,Armstrong Twp HSD 225,Armstrong,Vermilion,HIGH SCHOOL,Non Chicago School,19.9,60.6
96,1.10E+14,Arthur-Lovington High School,1.10E+14,Arthur CUSD 305,Arthur,Douglas,HIGH SCHOOL,Non Chicago School,11.9,65.8
97,4.71E+14,Ashton-Franklin Center HS,4.71E+14,Ashton-Franklin Center CUSD 275,Ashton,Lee,HIGH SCHOOL,Non Chicago School,26.3,53.9
98,2.20E+14,Astoria High School,2.20E+14,Astoria CUSD 1,Astoria,Fulton,HIGH SCHOOL,Non Chicago School,16.3,45
99,3.81E+14,Athens Sr High School,3.81E+14,Athens CUSD 213,Athens,Menard,HIGH SCHOOL,Non Chicago School,12.2,60
100,3.91E+14,Atwood Hammond High School,3.91E+14,Atwood Hammond CUSD 39,Atwood,Piatt,HIGH SCHOOL,Non Chicago School,30.4,58.8
101,5.11E+14,Auburn High School,5.11E+14,Auburn CUSD 10,Auburn,Sangamon,HIGH SCHOOL,Non Chicago School,20.4,57.6
102,3.10E+14,East High School,3.10E+14,Aurora East USD 131,Aurora,Kane,HIGH SCHOOL,Non Chicago School,45.5,33
103,3.10E+14,West Aurora High School,3.10E+14,Aurora West USD 129,Aurora,Kane,HIGH SCHOOL,Non Chicago School,14.5,54
104,2.20E+14,Avon Sr High School,2.20E+14,Avon CUSD 176,Avon,Fulton,HIGH SCHOOL,Non Chicago School,39.1,62.2
105,5.11E+14,Glenwood High School,5.11E+14,Ball Chatham CUSD 5,Chatham,Sangamon,HIGH SCHOOL,Non Chicago School,4.6,63.6
106,3.40E+14,Barrington High School,3.40E+14,Barrington CUSD 220,Barrington,Lake,HIGH SCHOOL,Non Chicago School,11.9,78.5
107,1.08E+13,BARRY HIGH SCHOOL,1.08E+13,BARRY CUSD 1,BARRY,PIKE,HIGH SCHOOL,Non Chicago School,26.1,46.1
108,3.10E+14,Batavia Sr High School,3.10E+14,Batavia USD 101,Batavia,Kane,HIGH SCHOOL,Non Chicago School,5,73.6
109,4.60E+14,Beardstown Jr/Sr High School,4.60E+14,Beardstown CUSD 15,Beardstown,Cass,HIGH SCHOOL,Non Chicago School,49.7,36.7
110,3.03E+13,Beecher City Jr-Sr High School,3.03E+13,Beecher City CUSD 20,Beecher City,Effingham,HIGH SCHOOL,Non Chicago School,23.4,51.3
111,56099200U260001,Beecher High School,56099200U260000,Beecher CUSD 200U,Beecher,Will,HIGH SCHOOL,Non Chicago School,3,70.6
112,5.01E+14,Belleville High School-East,5.01E+14,Belleville Twp HSD 201,Belleville,Saint Clair,HIGH SCHOOL,Non Chicago School,20.7,65
113,5.01E+14,Belleville High School-West,5.01E+14,Belleville Twp HSD 201,Belleville,Saint Clair,HIGH SCHOOL,Non Chicago School,24.7,55.1
114,4.00E+13,Belvidere High School,4.00E+13,Belvidere CUSD 100,Belvidere,Boone,HIGH SCHOOL,Non Chicago School,18.1,56.1
115,3.91E+14,Bement High School,3.91E+14,Bement CUSD 5,Bement,Piatt,HIGH SCHOOL,Non Chicago School,20.3,50.6
116,2.10E+14,Benton Cons High School,2.10E+14,Benton Cons HSD 103,Benton,Franklin,HIGH SCHOOL,Non Chicago School,40.3,45.3
117,4.11E+14,Civic Memorial High School,4.11E+14,Bethalto CUSD 8,Bethalto,Madison,HIGH SCHOOL,Non Chicago School,7.9,53.4
118,5.41E+14,Bismarck-Henning High School,5.41E+14,Bismarck Henning CUSD 1,Bismarck,Vermilion,HIGH SCHOOL,Non Chicago School,13.8,55
119,7.02E+13,Bloom Trail High School,7.02E+13,Bloom Twp HSD 206,Chicago Heights,Cook,HIGH SCHOOL,Non Chicago School,42.3,31.7
120,7.02E+13,Bloom High School,7.02E+13,Bloom Twp HSD 206,Chicago Heights,Cook,HIGH SCHOOL,Non Chicago School,53.5,30.7
121,1.71E+14,Bloomington High School,1.71E+14,Bloomington SD 87,Bloomington,McLean,HIGH SCHOOL,Non Chicago School,33.5,57.7
122,1.70E+14,Blue Ridge High School,1.70E+14,Blue Ridge CUSD 18,Farmer City,Dewitt,HIGH SCHOOL,Non Chicago School,22.5,62.5
123,3.00E+13,Bond Cty Comm Unit 2 High School,3.00E+13,Bond County CUSD 2,Greenville,Bond,HIGH SCHOOL,Non Chicago School,16,59.3
124,3.20E+14,Bradley-Bourbonnais C High School,3.20E+14,Bradley Bourbonnais CHSD 307,Bradley,Kankakee,HIGH SCHOOL,Non Chicago School,13.4,56.6
125,7.02E+13,Oak Forest High School,7.02E+13,Bremen CHSD 228,Oak Forest,Cook,HIGH SCHOOL,Non Chicago School,7.3,62.5
126,7.02E+13,Tinley Park High School,7.02E+13,Bremen CHSD 228,Tinley Park,Cook,HIGH SCHOOL,Non Chicago School,17.1,56.7
127,7.02E+13,Bremen High School,7.02E+13,Bremen CHSD 228,Midlothian,Cook,HIGH SCHOOL,Non Chicago School,22.6,56.4
128,7.02E+13,Hillcrest High School,7.02E+13,Bremen CHSD 228,Country Club Hill,Cook,HIGH SCHOOL,Non Chicago School,31.2,39.6
129,4.81E+14,Brimfield High School,4.81E+14,Brimfield CUSD 309,Brimfield,Peoria,HIGH SCHOOL,Non Chicago School,6.9,63.6
130,5.01E+14,Lovejoy Technology Academy,5.01E+14,Brooklyn UD 188,Lovejoy,Saint Clair,HIGH SCHOOL,Non Chicago School,94.7,7.3
131,4.60E+14,Brown County High School,4.60E+14,Brown County CUSD 1,Mount Sterling,Brown,HIGH SCHOOL,Non Chicago School,4.5,37
132,3.03E+13,Brownstown High School,3.03E+13,Brownstown CUSD 201,Brownstown,Fayette,HIGH SCHOOL,Non Chicago School,20.4,51.9
133,4.00E+14,Brussels High School,4.00E+14,Brussels CUSD 42,Brussels,Calhoun,HIGH SCHOOL,Non Chicago School,0,43.3
134,4.01E+14,Bunker Hill High School,4.01E+14,Bunker Hill CUSD 8,Bunker Hill,Macoupin,HIGH SCHOOL,Non Chicago School,21.2,46.1
135,2.80E+14,Bureau Valley High School,2.80E+14,Bureau Valley CUSD 340,Manlius,Bureau,HIGH SCHOOL,Non Chicago School,28.4,51.2
136,2.61E+14,Bushnell-Prairie City High Sch,2.61E+14,Bushnell Prairie City CUSD 170,Bushnell,McDonough,HIGH SCHOOL,Non Chicago School,28.3,45.7
137,4.71E+14,Byron High School 9-12,4.71E+14,Byron CUSD 226,Byron,Ogle,HIGH SCHOOL,Non Chicago School,9.7,75.5
138,5.01E+14,Cahokia High School,5.01E+14,Cahokia CUSD 187,Cahokia,Saint Clair,HIGH SCHOOL,Non Chicago School,71,22.6
139,50082187026201C,Fort Bowman Academy Charter Sch*,5.01E+14,Cahokia CUSD 187,Cahokia,Saint Clair,CHARTER SCH,Non Chicago School,29.1,31.4
140,2.00E+13,Cairo Jr/Sr High School,2.00E+13,Cairo USD 1,Cairo,Alexander,HIGH SCHOOL,Non Chicago School,84.6,11
141,4.00E+14,Calhoun High School,4.00E+14,Calhoun CUSD 40,Hardin,Calhoun,HIGH SCHOOL,Non Chicago School,20.5,47.9
142,2.80E+14,Cambridge Jr/Sr High School,2.80E+14,Cambridge CUSD 227,Cambridge,Henry,HIGH SCHOOL,Non Chicago School,15.8,57.7
143,2.20E+14,Canton High School,2.20E+14,Canton Union SD 66,Canton,Fulton,HIGH SCHOOL,Non Chicago School,31.3,51.9
144,3.00E+14,Carbondale Comm H S,3.00E+14,Carbondale CHSD 165,Carbondale,Jackson,HIGH SCHOOL,Non Chicago School,29.6,66.5
145,4.01E+14,Carlinville High School,4.01E+14,Carlinville CUSD 1,Carlinville,Macoupin,HIGH SCHOOL,Non Chicago School,20.2,69.8
146,1.30E+14,Carlyle High School,1.30E+14,Carlyle CUSD 1,Carlyle,Clinton,HIGH SCHOOL,Non Chicago School,20.3,49.9
147,2.01E+14,Carmi-White County High School,2.01E+14,Carmi-White County CUSD 5,Carmi,White,HIGH SCHOOL,Non Chicago School,26.5,52.7
148,2.01E+14,Carrier Mills-Stonefort H S,2.01E+14,Carrier Mills-Stonefort CUSD 2,Carrier Mills,Saline,HIGH SCHOOL,Non Chicago School,61.1,43.9
149,4.00E+14,Carrollton High School,4.00E+14,Carrollton CUSD 1,Carrollton,Greene,HIGH SCHOOL,Non Chicago School,24.8,59.7
150,2.11E+14,Carterville High School,2.11E+14,Carterville CUSD 5,Carterville,Williamson,HIGH SCHOOL,Non Chicago School,17.4,70.7
151,2.60E+14,CARTHAGE HIGH SCHOOL,2.60E+14,CARTHAGE CUSD 338,CARTHAGE,HANCOCK,HIGH SCHOOL,Non Chicago School,21.8,49.8
152,11012004C260001,Casey-Westfield Jr/Sr HS,11012004C260000,Casey-Westfield CUSD 4C,Casey,Clark,HIGH SCHOOL,Non Chicago School,30.2,41.3
153,5.41E+14,Catlin High School,5.41E+14,Catlin CUSD 5,Catlin,Vermilion,HIGH SCHOOL,Non Chicago School,9.4,46.8
154,1.11E+14,Central A & M High School,1.11E+14,Central A & M CUD 21,Moweaqua,Shelby,HIGH SCHOOL,Non Chicago School,24.8,63.7
155,1.30E+14,Central Comm High School,1.30E+14,Central CHSD 71,Breese,Clinton,HIGH SCHOOL,Non Chicago School,16.4,61.6
156,1.00E+13,Central High School,1.00E+13,Central CUSD 3,Camp Point,Adams,HIGH SCHOOL,Non Chicago School,27.5,53.8
157,3.10E+14,Central High School,3.10E+14,Central CUSD 301,Burlington,Kane,HIGH SCHOOL,Non Chicago School,0.9,67.6
158,3.20E+14,Central High School,3.20E+14,Central CUSD 4,Clifton,Iroquois,HIGH SCHOOL,Non Chicago School,13.8,53.1
159,1.31E+14,Centralia High School,1.31E+14,Centralia HSD 200,Centralia,Marion,HIGH SCHOOL,Non Chicago School,42.5,51.9
160,2.08E+13,Century Jr/Sr High School,2.08E+13,Century CUSD 100,Ullin,Pulaski,HIGH SCHOOL,Non Chicago School,79.3,44.7
161,3.91E+14,Cerro Gordo High School,3.91E+14,Cerro Gordo CUSD 100,Cerro Gordo,Piatt,HIGH SCHOOL,Non Chicago School,10.9,59.5
162,8.01E+13,Milledgeville High School,8.01E+13,Chadwick-Milledgeville CUSD 399,Milledgeville,Carroll,HIGH SCHOOL,Non Chicago School,13.4,63.9
