Column1,schid,schname,distid,dist,city,county,schtype,District Type,low,PSAE
132,3.30E+14,Abingdon-Avon High Sch,3.30E+14,Abingdon-Avon CUSD 276,Abingdon,Knox,HIGH SCHOOL,Non Chicago School,51.5,41
133,4.60E+14,A-C Central High School,4.60E+14,A-C Central CUSD 262,Ashland,Cass,HIGH SCHOOL,Non Chicago School,34.4,53.4
134,3.40E+14,Adlai E Stevenson High School,3.40E+14,Adlai E Stevenson HSD 125,Lincolnshire,Lake,HIGH SCHOOL,Non Chicago School,0.1,87.5
135,4.41E+14,Alden-Hebron High School,4.41E+14,Alden Hebron SD 19,Hebron,McHenry,HIGH SCHOOL,Non Chicago School,25.6,51.7
136,3.03E+13,Altamont High School,3.03E+13,Altamont CUSD 10,Altamont,Effingham,HIGH SCHOOL,Non Chicago School,40.6,62.5
137,4.11E+14,Alton High School,4.11E+14,Alton CUSD 11,Alton,Madison,HIGH SCHOOL,Non Chicago School,50.9,51.5
138,2.80E+14,AlWoodMiddle/High School,2.80E+14,AlWood CUSD 225,Woodhull,Henry,HIGH SCHOOL,Non Chicago School,29.2,51.8
139,4.71E+14,Amboy High School,4.71E+14,Amboy CUSD 272,Amboy,Lee,HIGH SCHOOL,Non Chicago School,30.3,56.8
140,2.09E+13,Anna-Jonesboro High School,2.09E+13,Anna Jonesboro CHSD 81,Anna,Union,HIGH SCHOOL,Non Chicago School,43.3,46.4
141,2.80E+14,Annawan High School,2.80E+14,Annawan CUSD 226,Annawan,Henry,HIGH SCHOOL,Non Chicago School,26.9,63.3
142,1.10E+14,Arcola High School,1.10E+14,Arcola CUSD 306,Arcola,Douglas,HIGH SCHOOL,Non Chicago School,43,33.6
143,3.91E+14,Argenta-Oreana High School,3.91E+14,Argenta-Oreana CUSD 1,Argenta,Macon,HIGH SCHOOL,Non Chicago School,34.8,50.7
144,7.02E+13,Argo Community High School,7.02E+13,Argo CHSD 217,Summit,Cook,HIGH SCHOOL,Non Chicago School,65.3,43.4
145,5.41E+14,Armstrong High School,5.41E+14,Armstrong Twp HSD 225,Armstrong,Vermilion,HIGH SCHOOL,Non Chicago School,41.5,52.4
146,1.10E+14,Arthur-Lovington High School,1.10E+14,Arthur CUSD 305,Arthur,Douglas,HIGH SCHOOL,Non Chicago School,32.8,64.9
147,4.71E+14,Ashton-Franklin Center HS,4.71E+14,Ashton-Franklin Center CUSD 275,Ashton,Lee,HIGH SCHOOL,Non Chicago School,30.2,50
148,2.20E+14,Astoria High School,2.20E+14,Astoria CUSD 1,Astoria,Fulton,HIGH SCHOOL,Non Chicago School,51.9,60.9
149,3.81E+14,Athens Sr High School,3.81E+14,Athens CUSD 213,Athens,Menard,HIGH SCHOOL,Non Chicago School,19.2,57.9
150,3.91E+14,Atwood Hammond High School,3.91E+14,Atwood Hammond CUSD 39,Atwood,Piatt,HIGH SCHOOL,Non Chicago School,38.7,43.1
151,5.11E+14,Auburn High School,5.11E+14,Auburn CUSD 10,Auburn,Sangamon,HIGH SCHOOL,Non Chicago School,26,59.2
