A1,A2,A3,A4
0.29,2.14,4.13,6.31
0.36,2.04,3.28,5.01
0.36,1.55,3.88,5.35
0.48,2.36,3.42,5.08
0.22,1.64,3.99,5.75
0.69,2.44,3.91,5.58
0.38,1.43,3.98,4.72
0.25,1.67,4.07,6.34
0.36,1.99,3.49,4.56
0.18,1.81,3.59,5.05
0.49,1.52,3.88,5.44
0.42,2.17,3.55,5.52
0.22,1.8,3.4,4.99
0.39,1.12,3.73,4.46
0.45,1.71,4.45,6.36
0.5,1.99,4.55,6.97
0.67,2.1,4.51,6.63
0.4,1.92,3.51,5.17
0.53,2.35,4.17,6.58
0.43,1.8,4.22,6.45
0.47,2.17,3.88,5.67
0.4,2.15,4.11,6.05
0.29,1.86,4.17,5.08
0.58,1.92,3.97,5.95
0.33,2.04,4.01,5.7
0.29,1.65,3.55,5.31
0.58,2.24,3.72,5.84
0.32,1.99,3.59,5.51
0.23,1.9,3.44,6.29
0.35,1.73,3.73,5.34
0.3,2.44,3.27,5.38
0.54,2.05,3.52,5.6
0.13,2.3,4.53,6.15
0.4,1.94,4.32,5.86
0.37,1.87,3.86,5.29
0.39,1.83,3.59,5.87
0.25,1.71,3.57,6.38
0.35,2.2,3.75,5.86
0.24,1.47,3.39,5.17
0.28,2.07,3.89,5.94
0.39,1.45,3.88,5.51
0.43,2.08,2.69,5.11
0.2,1.35,3.68,5.37
0.71,2.23,3.57,5.58
0.57,2.12,4.44,5.64
0.54,1.41,3.38,5.89
0.25,2.27,4.07,5.18
0.25,1.59,3.58,5.26
0.42,1.74,4.42,6.08
0.39,1.89,4.05,6.02
1.7,5.36,3.88,7.71
1.51,4.63,3.43,7.2
1.57,5.41,3.17,7.54
1.41,4.68,2.68,6.42
1.54,4.92,3.31,7.45
1.41,4.96,3.39,5.76
1.74,5.38,3.39,6.47
1.06,3.98,2.99,5.77
1.33,5.26,3.35,7.11
1.63,4.17,3.05,6.02
1.15,3.56,2.02,5.93
1.7,4.85,3.12,6.33
1.14,4.14,2.57,6.63
1.67,5.63,3.33,6.14
1.46,3.95,3.3,6.35
1.45,5.31,3.2,7.5
1.53,4.85,3.27,6.85
1.23,4.14,2.96,6.19
1.53,5.14,2.9,7.03
1.39,4.28,2.67,6.42
1.84,5.43,3.85,6.87
1.32,4.56,2.94,6.23
1.77,4.95,3.16,7.23
1.37,5.21,3.04,6.57
1.56,4.71,3.38,7.18
1.48,4.55,3.64,7.64
1.53,5.28,2.9,8.04
1.77,5.35,3.22,6.77
1.78,5.26,3.47,6.22
1.29,3.65,2.86,6.76
1.27,4.22,3.06,6.16
1.25,3.82,2.71,6.37
1.34,4.52,3.14,6.25
1.88,5.32,3.41,7.31
1.77,5.43,3.24,6.4
1.86,5.35,4.1,6.05
1.78,5.2,3.53,7.5
1.47,5.31,2.83,6.32
1.59,4.82,3.38,5.75
1.46,4.71,3.05,6.7
1.38,5.2,2.8,6.59
1.43,5.42,3.76,6.32
1.23,4.12,2.86,6.71
1.07,3.69,2.6,5.08
1.36,4.84,2.95,6.58
1.29,4.81,3.21,6.92
1.36,4.74,3.36,6.32
1.32,5.07,3.56,7.15
1.3,3.9,2.98,5.86
1.59,4.9,2.93,6.2
2.54,6.77,3.4,6.84
2.19,5.9,2.75,6.03
2.14,6.23,3.57,8.51
1.85,5.92,3,6.54
2.4,6.5,3.4,6.74
2.32,6.67,3.08,7.93
1.98,5.22,3.14,5.96
2.05,7.1,3.5,7.68
1.83,6.03,2.57,7.49
2.65,6.34,3.89,8.64
2.19,5.52,3.85,7.11
1.91,6.13,3.33,7.69
2.27,5.64,3.39,7.56
2.28,5.63,3.19,6.94
2.67,5.94,2.8,5.94
2.58,5.46,3.72,6.53
2.01,5.68,3.43,7.95
2.32,7.24,3.97,8.63
2.3,7.45,3.18,8.48
1.59,5.57,2.33,6.14
2.31,6.13,3.8,6.91
2.19,5.17,2.8,5.62
2.18,6.91,2.8,7.91
2.02,5.81,2.89,7.67
2.16,6.14,3.61,7.87
1.87,6.85,3.84,8.55
1.98,5.47,3.47,6.87
2.01,5.64,3.57,6.17
2.14,6.41,2.97,6.96
1.81,6.31,3.46,8.02
2.06,6.56,3.19,8.73
2.02,6.56,4.45,9.09
2.26,6.02,3.35,7.03
1.56,5.39,3.27,6.32
1.47,5.8,2.65,7.28
2.47,6.74,3.63,8.23
2.45,5.93,3.55,7.56
1.85,6.33,3.6,6.64
2.02,5.47,3.51,6.43
2.33,5.57,3.39,7.53
2.44,6.07,3.61,7.34
2.47,5.42,3.63,7.95
2.08,5.71,3.15,6.96
2.42,6.32,3.45,6.85
2.53,6.06,3.58,7.52
2.31,6.1,3.31,8.07
2.18,5.52,2.63,7.33
2.15,5.53,3.16,7.62
2.59,5.5,4.13,7.44
2.07,5.69,3.68,7.21
